,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,4474.5124,3672.11396,3319.54028,3752.64857,983.82372,807.27312,903.29896,955.12179,3179.08297,2483.23993,2032.53969,2554.82427,311.60571,381.60091,383.70163,242.70251,4249.36366,3417.53217,3162.51773,3666.7271,219.79514,240.63434,136.1889,72.01651,5.3536,13.94745,20.83365,13.90496,1774.93926,1202.04479,1019.77084,1523.75108,1670.41743,1322.26034,1155.22222,1344.00787,389.69754,442.82235,390.00847,356.10602,203.65412,186.5869,318.00619,143.22177,435.80405,518.39958,436.53256,385.56183
 1 Lt (Si),820.05268,845.4838,924.56532,857.13549,256.19496,159.14176,323.81553,322.20179,515.47954,627.72574,416.09222,506.36405,48.37818,58.6163,184.65757,28.56965,820.05268,845.4838,924.56532,857.13549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.93592,256.67179,270.76434,291.77468,330.15059,364.54359,316.02824,393.83637,0.0,0.0,0.0,0.0,77.77281,65.84302,183.10545,37.27217,100.19336,158.4254,154.66729,134.25227
 1.5 Lt (Si),2047.00728,1690.60201,1338.26814,1590.43472,272.25275,334.49856,282.58126,359.10406,1590.55499,1145.04038,928.03708,1114.56624,184.19954,211.06307,127.6498,116.76442,1879.8803,1466.57993,1208.45532,1524.53724,161.77338,210.07463,108.97917,51.99252,5.3536,13.94745,20.83365,13.90496,506.53212,453.79959,330.78196,512.71213,1061.61791,628.92624,468.5068,619.79277,271.64143,341.0022,276.40018,265.41719,90.78615,48.70099,90.12236,43.3481,116.42967,218.17299,172.45684,149.16453
 2.25 Lt (Si),974.25474,558.781,576.81588,816.01737,284.62987,115.02275,145.64416,117.13323,670.58598,386.955,414.51095,652.58493,19.03889,56.80325,16.66077,46.29921,974.25474,558.781,576.81588,816.01737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.27196,287.68128,265.67728,519.07296,94.0442,99.93516,188.6601,150.29212,11.42125,10.412,29.90678,12.00472,19.03889,56.80325,20.38019,46.29921,200.47844,103.94931,72.19153,88.34836
 250 Ml (Si),293.4943,217.74533,177.31495,191.36674,76.14728,88.72579,58.31603,53.94962,189.97935,109.46398,92.37327,116.03196,27.36767,19.55556,26.62565,21.38516,279.42124,202.18372,169.33907,181.64267,14.07306,15.56161,7.97588,9.72407,0.0,0.0,0.0,0.0,159.04303,89.33101,61.56597,71.77519,80.57538,75.03521,64.22512,72.07651,27.82909,29.38826,18.72009,27.29293,14.23304,5.31555,8.33138,10.88286,11.81376,18.6753,24.47239,9.33925
 300 Ml (Si),9.72854,12.17641,3.53767,4.98163,4.61638,0.1168,0.59836,0.14325,3.01964,12.05961,2.93931,4.31622,2.09252,0.0,0.0,0.52216,9.21721,11.10743,2.39258,4.69914,0.51133,1.06898,1.14509,0.28249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0143,2.72419,1.35796,1.68719,3.39327,4.46781,1.70794,2.60196,0.0,0.0,0.0,0.0,1.32097,4.98441,0.47177,0.69248
 345 Ml (Si),55.12162,65.25518,49.71109,26.92162,9.73121,16.78098,9.89488,3.41402,43.93608,44.57287,30.55394,19.586,1.45433,3.90133,9.26227,3.9216,55.12162,65.25518,49.71109,26.92162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77274,10.51907,17.67629,9.17994,26.88658,50.83478,22.77253,12.33825,0.0,0.0,0.0,0.0,1.45433,3.90133,9.26227,3.9216,1.00797,0.0,0.0,1.48183
 500 Ml (Si),274.85324,282.07023,249.32723,265.791,80.25127,92.98648,82.44874,99.17582,165.52739,157.42235,148.03292,141.37487,29.07458,31.6614,18.84557,25.24031,231.41587,268.14111,231.23847,255.77357,43.43737,13.92912,18.08876,10.01743,0.0,0.0,0.0,0.0,122.38349,104.04205,73.305,119.23618,72.12847,100.26117,93.67147,93.98466,75.4125,57.55208,63.27348,48.78922,0.3689,6.02276,6.80454,1.49783,4.55988,14.19217,12.27274,2.28311
