,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 Apple (Fl),3.25952,1.94097,1.49948,1.95661,0.93931,1.57976,1.98829,3.647,4.17592,1.4375,1.14872,1.22488,1.2356,5.98141,2.20676,3.00691,3.32141,1.9378,1.47687,1.90711,2.14234,2.09847,2.25372,4.85447,0.0,0.0,0.0,0.0,0.26402,0.78411,0.16511,0.8863,7.01803,0.95405,1.98118,2.48008,5.68023,10.35393,5.64481,7.3517,0.0,0.0,0.0,0.0,0.4119,0.65292,0.7307,0.10564
 Citrus (Fl),12.62673,10.72566,7.52893,7.1076,10.30852,13.72494,9.90211,11.22529,13.43343,9.94165,6.91274,5.03597,11.71565,9.48266,5.20612,12.7102,13.03161,10.54521,7.82077,7.05204,3.92052,11.00815,1.33923,6.22732,48.69266,50.06844,3.68894,26.31795,3.44313,6.92707,4.71307,4.59043,25.77296,18.47117,13.41837,9.48335,5.81262,8.23529,3.85183,10.47095,15.92499,12.53311,2.45421,8.17889,4.1926,1.25429,5.50344,5.26969
 Cola (Fl),34.56782,35.21735,38.0166,32.8599,34.35446,27.88855,32.74783,26.13904,35.81003,37.45208,41.27991,35.73443,22.56807,36.17906,33.13381,29.04999,32.58637,36.63838,38.6153,32.85675,73.71764,15.00944,25.93682,39.36488,0.0,35.66867,26.09908,0.0,36.68372,32.43957,36.13901,28.43434,24.30135,36.33916,40.96704,30.25251,56.19522,18.73078,41.76291,40.65046,40.73342,44.81144,37.94554,42.54996,43.08057,49.42684,31.29956,48.64392
 Lamonade (Fl),27.87264,35.88041,30.81193,37.74646,26.80519,41.32058,34.47772,39.89499,27.28281,34.8111,32.28235,36.22432,37.26051,31.33025,14.39293,45.31416,28.71777,34.20997,29.88521,37.96592,11.2685,61.2566,51.62232,25.8842,38.75486,7.37318,35.45005,41.31123,30.80534,41.98334,36.56386,36.8815,24.46937,29.49049,27.32532,43.30617,19.66079,50.77542,32.45603,26.78965,29.49011,14.57727,13.68425,45.06703,35.56015,32.97181,37.61017,29.18496
 Lychee (Fl),0.60249,0.83111,0.88151,1.02248,1.11385,2.72128,2.31968,3.14945,0.5033,0.34435,0.40876,0.32445,0.0,0.0,0.0,0.0,0.63441,0.89302,0.92528,1.04644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01014,0.23884,0.46775,0.07641,1.50121,2.091,1.85099,2.67752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39054,0.0,0.71219,0.31638
 Orange (Fl),20.64268,14.75476,17.36004,18.90722,26.47866,12.76489,18.54185,15.94422,18.19193,15.19325,16.61694,20.86883,27.22017,16.11089,18.51425,9.91873,21.25762,15.07748,17.18133,18.76264,8.95101,10.62734,18.84791,23.66913,12.55249,6.88972,34.76194,32.37082,27.96387,16.3607,20.28527,28.24853,16.73133,12.27859,13.56827,11.70456,12.65114,11.90458,16.28441,14.73724,13.85149,26.20536,13.88582,4.20412,16.13665,15.6601,24.05282,16.41054
 Pomegranate (Fl),0.42813,0.64973,3.90151,0.39973,0.0,0.0,0.02251,0.0,0.60258,0.82007,1.35058,0.58714,0.0,0.91573,26.54613,0.0,0.45081,0.69813,4.09523,0.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82978,1.26637,1.66593,0.88249,0.20574,0.37554,0.88883,0.09582,0.0,0.0,0.0,0.0,0.0,1.87282,32.03018,0.0,0.22758,0.03403,0.09112,0.06887
