,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,308.21814,256.19186,230.51388,255.71529,68.52176,60.23556,66.2706,67.70293,216.31003,170.71985,137.9051,170.59142,23.38635,25.23645,26.33818,17.42094,290.79898,237.63354,218.71253,248.81792,17.06225,17.62849,10.41244,5.97037,0.35691,0.92983,1.38891,0.927,118.33825,79.54576,68.71273,97.32184,116.85992,95.11535,80.05427,94.5515,31.16315,34.46764,30.00074,28.44524,14.36855,11.75148,20.80549,9.92278,27.48827,35.31163,30.94065,25.47393
 Apple (Fl),10.12108,5.34271,3.8776,5.30131,0.78254,0.95611,1.38276,2.52046,9.05082,2.73002,1.78885,2.28557,0.28772,1.65658,0.70599,0.49528,9.78211,4.88977,3.59953,4.9964,0.33897,0.45294,0.27807,0.30491,0.0,0.0,0.0,0.0,0.36443,0.63235,0.16324,0.92474,7.98047,0.96257,1.67927,2.43034,1.59667,3.48094,1.72995,1.9055,0.0,0.0,0.0,0.0,0.17951,0.26685,0.30514,0.04073
 Citrus (Fl),39.47789,28.18782,18.26622,20.14882,7.4514,8.60958,6.53017,7.90667,29.45626,17.04948,10.11341,9.8739,2.57023,2.52876,1.62264,2.36825,38.66765,25.85381,18.06358,19.51109,0.63645,1.86846,0.1514,0.39376,0.17379,0.46555,0.05124,0.24397,4.38497,5.93174,3.6553,5.01615,29.13078,17.55619,10.96577,9.40334,1.96361,2.6331,1.36971,2.94507,2.60285,1.51344,0.54826,1.23612,1.39568,0.55335,1.72718,1.54814
 Cola (Fl),102.81025,89.08098,86.27159,82.00605,21.99949,16.40164,22.18484,17.00983,75.38453,64.14938,55.76439,59.8818,5.42623,8.52996,8.32236,5.11442,90.12502,85.47761,82.94358,79.73903,12.68523,3.27171,2.96552,2.26702,0.0,0.33166,0.36249,0.0,40.10734,24.54713,25.22754,27.86995,28.18528,34.26474,31.37295,27.3508,17.10382,7.31154,11.77626,10.82949,5.76667,5.41759,8.16915,4.03658,11.64714,17.53998,9.72569,11.91923
 Lamonade (Fl),87.99206,93.09852,72.61851,97.79587,20.17491,25.2526,22.65846,28.01579,58.69542,59.36207,45.32963,62.24902,9.12173,8.48385,4.63042,7.53106,85.8882,82.75912,67.15574,95.62749,1.96554,10.27084,4.9704,1.78543,0.13832,0.06856,0.49237,0.38295,39.06039,35.10673,25.16625,36.62459,29.21517,28.2119,22.57772,41.72299,6.47408,16.77456,9.95263,7.6796,4.11536,1.8384,3.04256,4.08388,9.12706,11.16693,11.87935,7.68481
 Lychee (Fl),2.04635,2.44475,2.72311,2.74364,0.86969,1.68943,1.94059,2.09462,1.17666,0.75532,0.78252,0.64902,0.0,0.0,0.0,0.0,2.04635,2.44475,2.72311,2.74364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.25819,0.42482,0.11643,1.85815,2.18656,1.9978,2.50523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702,0.0,0.30049,0.12198
 Orange (Fl),64.74638,36.73735,39.19311,46.93934,17.24373,7.3262,11.56158,10.15556,41.52221,25.58352,22.68624,34.87185,5.98044,3.82763,4.94529,1.91193,63.26552,34.90875,36.66325,45.42001,1.43606,1.76454,2.04705,1.21925,0.0448,0.06406,0.48281,0.30008,33.66347,12.26298,13.20778,26.08527,20.30477,11.66761,10.90794,11.0698,4.02497,4.2675,5.17219,5.08558,1.88367,2.77238,2.93404,0.5662,4.8695,5.76688,6.97116,4.13249
 Pomegranate (Fl),1.02413,1.29973,7.56374,0.78026,0.0,0.0,0.0122,0.0,1.02413,1.09006,1.44006,0.78026,0.0,0.20967,6.11148,0.0,1.02413,1.29973,7.56374,0.78026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73965,0.80664,0.8678,0.68471,0.1853,0.26578,0.55282,0.069,0.0,0.0,0.0,0.0,0.0,0.20967,6.11148,0.0,0.09918,0.01764,0.03164,0.02655
