,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,4474.51241,3672.11396,3319.54028,3752.64857,983.82372,807.27312,903.29896,955.12179,3179.08298,2483.23993,2032.53969,2554.82427,311.60571,381.60091,383.70163,242.70251,4249.36367,3417.53217,3162.51773,3666.7271,219.79514,240.63434,136.1889,72.01651,5.3536,13.94745,20.83365,13.90496,1774.93927,1202.04479,1019.77084,1523.75108,1670.41743,1322.26034,1155.22222,1344.00787,389.69754,442.82235,390.00847,356.10602,203.65412,186.5869,318.00619,143.22177,435.80405,518.39958,436.53256,385.56183
 Apple (Fl),145.84745,71.27465,49.77574,73.42462,9.24117,12.75297,17.96018,34.8333,132.75608,35.69656,23.34819,31.29347,3.8502,22.82512,8.46737,7.29785,141.1387,66.22501,46.70642,69.9286,4.70875,5.04964,3.06932,3.49602,0.0,0.0,0.0,0.0,4.68625,9.4253,1.68372,13.50496,117.23042,12.61507,22.88705,33.33249,22.13571,45.84952,22.01524,26.17986,0.0,0.0,0.0,0.0,1.79507,3.38476,3.18973,0.40731
 Citrus (Fl),564.98438,393.85859,249.9258,266.72323,101.4177,110.79773,89.44568,107.21518,427.06004,246.87496,140.50416,128.66007,36.50664,36.1859,19.97596,30.84798,553.76045,360.38592,247.33338,258.57903,8.61712,26.4894,1.82388,4.4847,2.60681,6.98327,0.76854,3.6595,61.11338,83.26653,48.0625,69.94678,430.51595,244.23696,155.01197,127.45691,22.65165,36.46771,15.02247,37.28768,32.43189,23.38515,7.80455,11.71395,18.27151,6.50224,24.02431,20.31791
 Cola (Fl),1546.74129,1293.22132,1261.97632,1233.11658,337.98732,225.1368,295.81085,249.6597,1138.43057,930.0249,839.03051,912.95182,70.3234,138.05962,127.13496,70.50506,1384.71351,1252.12859,1221.21586,1204.76737,162.02778,36.11786,35.32307,28.34921,0.0,4.97487,5.43739,0.0,651.11369,389.93818,368.53511,433.26857,405.93404,480.49824,473.26036,406.59609,218.9914,82.94408,162.87889,144.75872,82.95528,83.61227,120.66918,60.9408,187.74688,256.22855,136.63278,187.5524
 Lamonade (Fl),1247.16478,1317.56956,1022.81446,1416.49196,263.71584,333.56991,311.4369,381.04575,867.34307,864.44314,656.15164,925.4676,116.10587,119.55651,55.22592,109.97861,1220.32239,1169.13678,945.12505,1392.10675,24.76761,147.40441,70.30387,18.6409,2.07478,1.02837,7.38554,5.74431,546.77608,504.65857,372.8676,561.98221,408.7407,389.94108,315.66818,582.03832,76.61761,224.84489,126.58128,95.39955,60.05782,27.19927,43.51675,64.5458,154.97257,170.92575,164.18065,112.52608
 Lychee (Fl),26.95854,30.51935,29.26199,38.37016,10.95835,21.9682,20.95369,30.08112,16.00019,8.55115,8.3083,8.28904,0.0,0.0,0.0,0.0,26.95854,30.51935,29.26199,38.37016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18005,2.87094,4.76998,1.1643,25.07648,27.64841,21.38305,35.98603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70201,0.0,3.10896,1.21983
 Orange (Fl),923.65937,541.81171,576.27367,709.52167,260.50334,103.04751,167.48835,152.28674,578.33643,377.28488,337.74585,533.16192,84.8196,61.47932,71.03947,24.07301,903.31348,515.27774,543.36273,687.97484,19.67388,25.57303,25.66876,17.04568,0.67201,0.96094,7.24218,4.50115,496.34179,196.66297,206.86327,430.43726,279.48309,162.35493,156.74368,157.31021,49.30117,52.71615,63.51059,52.48021,28.20913,48.89577,44.15776,6.02122,70.32419,81.18189,104.99837,63.27277
 Pomegranate (Fl),19.1566,23.85878,129.5123,15.00035,0.0,0.0,0.20331,0.0,19.1566,20.36434,27.45104,15.00035,0.0,3.49444,101.85795,0.0,19.1566,23.85878,129.5123,15.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72803,15.2223,16.98866,13.447,3.43675,4.96565,10.26793,1.28782,0.0,0.0,0.0,0.0,0.0,3.49444,101.85795,0.0,0.99182,0.17639,0.39776,0.26553
