,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 1 Lt (Si),18.3272,23.02444,27.85221,22.84081,26.04074,19.7135,35.8481,33.73411,16.21472,25.2785,20.47154,19.81992,15.52545,15.36063,48.1253,11.77147,19.29825,24.7396,29.2351,23.37604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.57446,21.35293,26.55149,19.14845,19.76456,27.56973,27.35649,29.30313,0.0,0.0,0.0,0.0,38.18867,35.28813,57.57921,26.0241,22.99046,30.56048,35.43087,34.81991
 1.5 Lt (Si),45.74816,46.03893,40.31486,42.38166,27.67292,41.43561,31.28325,37.59772,50.03188,46.11074,45.65899,43.62595,59.11302,55.3099,33.26798,48.1101,44.2391,42.91342,38.21181,41.5776,73.60189,87.30035,80.0206,72.19528,100.0,100.0,100.0,100.0,28.538,37.7523,32.43689,33.64802,63.55405,47.56448,40.55556,46.11526,69.70571,77.00655,70.8703,74.53319,44.5786,26.10097,28.33981,30.26642,26.71606,42.08587,39.50607,38.68758
 2.25 Lt (Si),21.77343,15.21688,17.37638,21.7451,28.93098,14.24831,16.12358,12.2637,21.09369,15.58267,20.39374,25.54324,6.10993,14.88551,4.34212,19.07653,22.92707,16.35042,18.23914,22.25465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.57995,23.93266,26.05265,34.06547,5.62998,7.5579,16.33107,11.18238,2.9308,2.35128,7.66824,3.37111,9.34864,30.44332,6.40874,32.32694,46.00197,20.05197,16.53749,22.91419
 250 Ml (Si),6.55925,5.9297,5.34155,5.09951,7.73993,10.9908,6.45589,5.64845,5.97592,4.40811,4.54472,4.54168,8.78279,5.12461,6.93915,8.81126,6.5756,5.91607,5.35457,4.95381,6.40281,6.46691,5.85648,13.50256,0.0,0.0,0.0,0.0,8.96048,7.43159,6.03724,4.71043,4.82367,5.67477,5.55955,5.3628,7.1412,6.63658,4.79992,7.66427,6.98883,2.84883,2.61988,7.59861,2.7108,3.60249,5.60609,2.42224
 300 Ml (Si),0.21742,0.33159,0.10657,0.13275,0.46923,0.01447,0.06624,0.015,0.09498,0.48564,0.14461,0.16894,0.67153,0.0,0.0,0.21514,0.21691,0.32501,0.07565,0.12816,0.23264,0.44423,0.84081,0.39226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30018,0.20603,0.11755,0.12553,0.87074,1.00894,0.43792,0.73067,0.0,0.0,0.0,0.0,0.30311,0.9615,0.10807,0.1796
 345 Ml (Si),1.2319,1.77705,1.49753,0.7174,0.98912,2.07872,1.09542,0.35744,1.38204,1.79495,1.50324,0.76663,0.46672,1.02236,2.41393,1.61581,1.29717,1.90942,1.57188,0.73421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45204,0.8751,1.73336,0.60246,1.60957,3.84454,1.97127,0.91802,0.0,0.0,0.0,0.0,0.71412,2.09089,2.91261,2.73813,0.23129,0.0,0.0,0.38433
 500 Ml (Si),6.14264,7.68141,7.5109,7.08276,8.15708,11.51859,9.12751,10.38358,5.20677,6.33939,7.28315,5.53364,9.33057,8.29699,4.91152,10.39969,5.44589,7.84604,7.31185,6.97553,19.76266,5.7885,13.28211,13.90991,0.0,0.0,0.0,0.0,6.89508,8.65542,7.18838,7.82517,4.31799,7.58256,8.10852,6.99287,19.35155,12.99665,16.22362,13.70076,0.18114,3.22786,2.13975,1.04581,1.04631,2.73769,2.81141,0.59215
