,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 Lt (Si),11.11469,11.18116,11.44916,11.33933,13.51819,12.43925,13.01166,11.2679,10.75986,11.09703,11.15677,12.04704,6.89559,7.81062,8.78693,5.74755,11.99995,11.89546,12.27805,12.19608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79521,11.85358,12.24781,11.38938,12.86528,12.78276,13.02918,13.83098,0.0,0.0,0.0,0.0,12.09917,17.83017,10.90867,13.69384,17.1317,13.26231,16.78073,16.8921
 1.5 Lt (Si),15.42765,15.68977,15.42557,15.90209,14.53141,14.40051,13.14276,13.49413,16.23111,16.07445,16.68337,17.29748,12.40064,16.91731,13.37576,12.64125,15.05628,15.15285,15.17964,15.49294,18.7119,21.81147,17.26121,19.35494,52.08214,47.27227,36.347,41.40519,14.3373,15.61981,16.51391,13.83199,14.60266,13.93702,14.57875,16.63403,18.24625,19.44714,15.93602,19.08786,14.56532,14.22864,14.56877,18.07801,19.33552,18.6474,14.67378,16.27955
 2.25 Lt (Si),7.02678,6.86105,6.88625,6.9022,6.44087,5.20494,6.65022,6.54222,7.86334,8.05241,7.54249,7.30628,2.91411,3.23694,2.9118,4.80265,7.58644,7.29936,7.3848,7.4237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50375,10.69921,9.81967,9.40004,4.9434,3.69794,5.15656,5.56044,1.49591,2.06895,2.0741,1.5217,5.26392,5.43382,8.0771,9.26887,12.81499,11.553,7.83849,7.95979
 250 Ml (Si),12.4886,11.29116,12.4259,12.09626,13.63407,13.36255,13.39714,13.26019,11.83388,10.06695,11.74493,11.23435,13.80642,13.84061,14.34075,15.2181,12.21899,10.99175,11.99433,11.46724,16.55767,17.5516,20.02524,22.4164,0.0,0.0,0.0,0.0,12.48182,10.89348,12.52159,10.83716,12.6006,9.78413,11.07605,12.26364,11.8935,11.68804,15.26287,14.06477,12.77298,17.36861,9.64913,17.07737,12.79693,14.81106,14.80159,11.73714
 300 Ml (Si),1.1275,1.11937,0.56344,1.10601,0.9636,1.39167,0.30839,0.9392,1.04507,1.15343,0.75074,1.06282,2.14601,0.0,0.0,2.03344,1.12429,1.12342,0.38406,0.96985,1.2181,1.15998,3.31214,3.1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51372,1.41485,0.55892,1.00645,4.08341,2.77644,2.35061,4.23875,0.0,0.0,0.0,0.0,0.90797,2.63241,0.67732,1.93984
 345 Ml (Si),2.10406,2.41954,2.9856,2.65572,0.71876,1.03963,1.53208,1.16148,2.58129,2.89782,3.5851,3.47015,2.66658,3.23694,3.12039,1.05675,2.27165,2.57411,3.20176,2.85638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29454,1.65448,2.91312,2.54059,3.97893,4.18273,4.82545,4.28455,0.0,0.0,0.0,0.0,4.81678,5.43382,4.32786,2.03948,0.30887,0.0,0.0,1.49499
 500 Ml (Si),10.11719,10.56477,10.40244,9.27874,12.29412,11.43573,11.73567,10.99334,9.64821,10.39655,9.53676,8.4778,7.30753,9.05183,12.53697,10.01183,10.30287,10.51167,10.45439,9.30908,8.12138,12.51842,10.54781,9.74444,0.0,0.0,0.0,0.0,12.35284,12.83543,11.49579,10.84007,9.17032,9.24462,10.07916,8.19996,12.55756,13.61037,13.58347,13.49201,3.79018,1.43045,7.14735,3.92443,4.33501,8.13886,6.50629,3.55673
