,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,308.21814,256.19186,230.51388,255.71529,68.52176,60.23556,66.2706,67.70293,216.31003,170.71985,137.9051,170.59142,23.38635,25.23645,26.33818,17.42094,290.79898,237.63354,218.71253,248.81792,17.06225,17.62849,10.41244,5.97037,0.35691,0.92983,1.38891,0.927,118.33825,79.54576,68.71273,97.32184,116.85992,95.11535,80.05427,94.5515,31.16315,34.46764,30.00074,28.44524,14.36855,11.75148,20.80549,9.92278,27.48827,35.31163,30.94065,25.47393
 1 Lt (Si),53.26145,54.45145,60.61983,54.9572,16.97926,10.54495,22.18852,20.60358,32.91769,40.37121,27.24628,32.43391,3.3645,3.53529,11.18503,1.91971,53.26145,54.45145,60.61983,54.9572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.62611,14.3327,15.53737,15.63357,22.97371,25.06088,22.13846,27.37886,0.0,0.0,0.0,0.0,5.36981,3.9436,11.28485,2.52196,7.29182,11.11427,11.65915,9.42281
 1.5 Lt (Si),133.98567,109.67462,86.99718,104.09753,17.91997,21.91867,18.29772,23.65947,103.88224,74.80987,60.34964,72.80558,12.18346,12.94608,8.34982,7.63248,122.84388,94.73982,78.34298,99.70436,10.78488,14.00497,7.26529,3.46617,0.35691,0.92983,1.38891,0.927,33.49667,29.07803,21.68204,34.01648,68.96181,40.37672,29.84901,39.99947,18.01292,22.73349,18.42669,17.54266,6.05241,3.24673,6.01367,2.88986,7.46186,14.23965,11.02577,9.64906
 2.25 Lt (Si),52.78888,30.2592,30.71913,44.43769,15.70878,6.49028,8.23265,6.53628,36.06468,20.73942,21.58136,35.43212,1.01542,3.0295,0.90512,2.46929,52.78888,30.2592,30.71913,44.43769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.73227,16.01672,14.99198,28.65297,4.62481,4.92427,8.88003,7.70094,0.6599,0.60158,1.72794,0.6936,1.01542,3.0295,1.12002,2.46929,10.75648,5.68713,3.99916,4.92089
 250 Ml (Si),35.36004,27.12613,22.76214,23.19452,8.59911,10.60559,8.40374,6.70262,23.15246,14.30037,11.15014,14.00253,3.60847,2.22017,3.20826,2.48937,33.47754,25.00244,21.53837,21.7203,1.8825,2.12369,1.22377,1.47422,0.0,0.0,0.0,0.0,17.36433,8.88591,7.71906,6.65638,10.29209,10.44292,7.81189,8.94451,4.6337,4.85426,3.34799,4.98798,1.76755,0.59012,0.90108,1.55088,1.30237,2.35292,2.98212,1.05477
 300 Ml (Si),0.9567,1.29396,0.35376,0.59803,0.46164,0.01168,0.05984,0.01433,0.31449,1.28228,0.29392,0.53864,0.18057,0.0,0.0,0.04506,0.90557,1.18706,0.23925,0.56978,0.05113,0.1069,0.11451,0.02825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50143,0.27242,0.1358,0.16872,0.32317,0.5231,0.17079,0.36007,0.0,0.0,0.0,0.0,0.1321,0.49844,0.04717,0.06924
 345 Ml (Si),4.91478,5.76022,4.40003,2.3771,0.84619,1.45922,0.86042,0.29686,3.94212,3.96175,2.7342,1.73923,0.12647,0.33925,0.80541,0.34101,4.91478,5.76022,4.40003,2.3771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24111,0.91472,1.53707,0.79825,2.45955,4.50625,2.05755,1.10899,0.0,0.0,0.0,0.0,0.12647,0.33925,0.80541,0.34101,0.08765,0.0,0.0,0.12885
 500 Ml (Si),26.95062,27.62628,24.66181,26.05322,8.00681,9.20517,8.22771,9.88979,16.03635,15.25495,14.54956,13.63941,2.90746,3.16616,1.88454,2.52402,22.60688,26.23335,22.85294,25.05149,4.34374,1.39293,1.80887,1.00173,0.0,0.0,0.0,0.0,11.87776,10.31768,7.24521,11.56419,7.04652,9.53189,9.18153,9.25001,7.53346,5.75521,6.32733,4.86093,0.03689,0.60228,0.68046,0.14978,0.45599,1.41922,1.22728,0.22831
